nome;insc;org;sitio;detalhes;imagem;link;datai;dataf;horain;horaf;topico;nivel
PYFF6 - 6º Congresso de Fisiologia de Leveduras e Fungos Filamentosos;0;Instituto Superior Técnico;IST;"Na sequência de edições anteriores, o 6º congresso internacional em Fisiologia de Leveduras e Fungos Filamentosos (PYFF6- 6th Conference on Physiology of Yeast and Filamentous Fungi) realizar-se-á este ano no Centro de Congressos do Instituto Superior Técnico, Universidade de Lisboa, entre os dias 11 e 14 de julho de 2016.

Este evento reunirá um vasto leque de investigadores dedicados ao estudo e à exploração de leveduras e fungos filamentosos nas vertentes da biotecnologia, industria e saúde, sob os auspícios da Secção de Fisiologia Microbiana da EFB (European Federation of Biotechnology), e com o apoio da FEMS (Federation of European Microbiological Societies). Este encontro é uma importante plataforma para todos os que trabalham nesta vasta área científica e uma oportunidade para jovens investigadores apresentarem e discutirem o seu trabalho, bem como ampliarem a sua rede de colaborações, tão importante para o desenvolvimento de trabalho interdisciplinar de relevância. ";https://fenix.tecnico.ulisboa.pt/downloadFile/563568428731578/top_banner_ULIsboa.jpg;http://tecnico.ulisboa.pt/pt/eventos/2016/2/PYFF6___6_Congresso_de_Fisiologia_de_Leveduras_e_Fungos_Filamentosos;11/07/2016;14/07/2016;09:00;20:00;Biologia, Química, Medicina;4
INESC-ID Distinguished Lecture Series - Pedro Domingos;0;Instituto Superior Técnico, INESC-ID;Anfiteatro VA1, Técnico - Campus Alameda;"No âmbito das INESC-ID Distinguished Lecture Series, irá realizar-se, no dia 27 de junho, pelas 14h30, uma palestra por Pedro Domingos (University of Washington), com o tema ""The Five Tribes of Machine Learning, and What You Can Take from Each"".";http://web.tecnico.ulisboa.pt/franciscocsantos/imgs/ist.jpg;http://tecnico.ulisboa.pt/pt/eventos/2016/5/INESC_ID_Distinguished_Lecture_Series___Pedro_Domingos;27/06/2016;27/06/2016;14:30;15:30;Informática;4
"Solos superficiais das ilhas vulcânicas de Santiago, Fogo e Brava (Cabo Verde)
";0;Instituto Superior Técnico - Campus Tecnológico e Nuclear;Auditório do CTN-IST, Polode Loures, Bobadela;Realiza-se, entre 18 de março e 21 de julho, o Ciclo de seminários Primavera/Verão 2016 do Centro de Ciências e Tecnologias Nucleares (C2TN) do IST.;http://web.tecnico.ulisboa.pt/franciscocsantos/imgs/ist.jpg;http://tecnico.ulisboa.pt/pt/eventos/2016/3/Ciclo_de_seminarios_Primaveraerao_2016_C2TN;23/06/2016;23/06/2016;11:00;12:00;Química;4
2ª UT Austin|Portugal Summer School;1;Instituto Superior Técnico;Hotel Ever Caparica – Beach and Conference Hotel;"We invite doctoral and senior undergraduate/master's students to participate in the Portugal | UT Austin Summer School in systems and networking, which is co-located with the spring event for the Erasmus Mundus Joint Doctorate in Distributed Computing. The school will consist of two days of lectures by renowned researchers on selected topics in the broad area of systems and networking. In addition, students will have the opportunity to present a poster about their research and ample time to engage in discussion with all the participants.

The summer school will take place in Costa da Caparica, a beach located a few kilometers south of Lisbon, easily reachable by taxi from the Lisbon airport.

Students interested in participating in the summer school should send a short cv and a 1-page abstract of the research problem they are either working on or interested in addressing to summerschool16@gsd.inesc-id.pt.

Application deadline (round 1): May 6, 2016 (3pm CEST). After this deadline, applications will be accepted only if there is space available.";http://www.gsd.inesc-id.pt/~ut-austin-pt-emjd-dc-school/logo-ut.gif;http://www.gsd.inesc-id.pt/~ut-austin-pt-emjd-dc-school/;01/06/2016;03/06/2016;10:00;19:00;Informática, Electronica;5
"Lançamento do livro ""Manuel Abreu Faro - a criar bases para a ciência em Portugal""";0;Instituto Superior Técnico;Anfiteatro Abreu Faro, Complexo Interdisciplinar;"O lançamento do livro “Manuel Abreu Faro – a criar bases para a ciência em Portugal” terá lugar no próximo dia 23 de maio, pelas 19h00, no anfiteatro Abreu Faro, no Complexo Interdisciplinar I, numa sessão sequencial à sessão solene da comemoração dos 105 anos do Técnico.

Manuel José Castro Petrony d´Abreu Faro foi uma personalidade marcante na segunda metade do séc. 20. Docente brilhante, capaz de passar aos alunos todo o entusiasmo que sentia pelas telecomunicações, Abreu Faro nunca se considerou um cientista. Segundo as suas próprias palavras “Estudei, tentei perceber, ensinei o melhor que soube. Mas procurei tudo fazer para que outros, para que vocês, meus alunos, fossem para fora, aprendessem a fazer ciência, a ser cientistas, e talvez um dia a fazer ciência em Portugal.”
";http://web.tecnico.ulisboa.pt/franciscocsantos/imgs/ist.jpg;"http://tecnico.ulisboa.pt/pt/eventos/2016/5/Lancamento_do_livro_34anuel_Abreu_Faro___a_criar_bases_para_a_ciencia_em_Portugal34;";23/05/2016;23/05/2016;19:00;20:00;;3
Keep In Touch | Técnico Alumni Network;0;Instituto Superior Técnico;Átrio interno do Pavilhão Central ;"No dia em que o Instituto Superior Técnico assinala 105 anos de existência e 80 anos no campus Alameda, queremos marcar este novo século de existência convidando os Antigos Alunos a regressarem a “casa”, reviver velhas experiências, reencontrar velhos colegas e amigos, e participar daquela que será, sem dúvida, a maior rede Alumni do país.

Convidam-se todos os Alumni da “casa” a celebrar mais um aniversário da Escola no dia 23 de maio de 2016. Estão planeadas uma série de atividades que terão início com um brinde aos 105 anos da Escola na sua alameda que culminarão com a apresentação do vídeo promocional do Técnico enquadrado por um festival de Street Food.

The Organizing Committee";http://web.tecnico.ulisboa.pt/franciscocsantos/imgs/ist.jpg;http://kit.tecnico.ulisboa.pt/#home;23/05/2016;23/05/2016;18:00;22:00;Astronomia;4
6ª Edição da Lisbon Machine Learning School;0;Instituto Superior Técnico;IST;"LxMLS 2016 will take place July 21-28 at Instituto Superior Técnico (IST), a leading Engineering and Science school in Portugal. It is organized jointly by IST, the Instituto de Telecomunicações and the Instituto de Engenharia de Sistemas e Computadores, Investigação e Desenvolvimento em Lisboa (INESC-ID). Click here for information about past editions (LxMLS 2011, LxMLS 2012, LxMLS 2013, LxMLS 2014, LxMLS 2015) and to watch the videos of the lectures (2011, 2012, 2013, 2014).

The school covers a range of machine learning (ML) Topics, from theory to practice, that are important in solving natural language processing (NLP) problems that arise in the analysis and use of Web data.";http://lxmls.it.pt/2016/wp-content/uploads/2016/02/copy-01-Banner-LxMLS-2016-04.jpg;http://lxmls.it.pt/2016/;21/07/2016;28/07/2016;08:00;20:00;Informática;4
O bosão de Higgs;0;Faculdade de Ciências da Universidade de Lisboa;Grande Auditório FCUL;A Doutora Patrícia Conde-Muiño fará uma abordagem pedagógica sobre este tema, que é crucial no entendimento da estrutura do tecido espaço-tempo do Cosmos. Em 1964 Peter Higgs e outros cinco cientistas sugeriram a existência de um novo campo de interações (forças), capaz de explicar a existência de massa para algumas partículas elementares, quando pelas leis de simetria das interações fundamentais isso não deveria acontecer. Este campo (de Higgs) que permeia o universo justificaria também o curtíssimo alcance da força nuclear fraca que está, por exemplo, nos decaimentos radioativos. A presença do campo de Higgs evidencia-se quando fica num estado quântico excitado e aí surge o bosão de Higgs, uma partícula fundamental do Modelo Padrão. No dia 4 de julho de 2012 foi detetada a sua presença com o acelerador LHC do CERN e, em 10-dez-2013,  Peter Higgs e François Englert, receberam o Prémio Nobel da Física. Na foto em cima está o detetor CMS do LHC. A não perder!;http://oal.ul.pt/wp-content/uploads/2016/05/NCbanner_27Maio2016_web.png;http://oal.ul.pt/noites-de-ciencias-maio-2016/;27/05/2016;27/05/2016;20:00;23:00;Física, Astronomia;2
Noites no Observatório - O Lado Escuro da Força;1;Observatório astronómico de Lisboa;Planetário Calouste Gulbenkian;A Teoria da Relatividade Geral de Einstein faz agora cem anos de idade. Foi com ela que começámos a conseguir ler a história do nosso Universo. Nos últimos vinte anos entrámos numa nova era de cosmologia de precisão, nunca se soube tanto sobre o nosso Universo. No entanto, nunca estivemos tão conscientes de saber tão pouco, porque descobrimos que a matéria comum constitui apenas 5% da energia do Universo. Os restantes 95% formam um lado escuro do Universo, constituído de mistério puro. Vamos explorar este lado escuro do Universo e tentar fazer luz sobre o desconhecido.;http://oal.ul.pt/wp-content/uploads/2013/06/logoNOALtxtTransp_web-300x271.png;http://oal.ul.pt/noites-no-observatorio-mai-2016/;28/05/2016;28/05/2016;21:30;23:59:00;Astronomia, Física;2
How to do conservation science, implement it, and not die trying;0;Faculdade de Ciências da Universidade de Lisboa;Sala 6.2.51, FCUL;Conducting research for conservation is, unfortunately, too often cut short or rarely implemented. Scientists are losing credibility and science losing relevance for policy. I will discuss three examples of research projects that have become official federal government programs with nation-wide implications. Mexico is the fifth country with the greatest biodiversity in the world. Challenges are thick and plentiful. Recently Mexico became the first country in the world to have an estimate of how many jaguars inhabit the country and the National Jaguar Strategy is fully in place and being implemented today. Bats represent about one-fourth of Mexico’s mammals and they include critically endangered and endangered species. The bighorn sheep is a charismatic species that has become a landmark for sustainable development and conservation via a sustainable use program led and coordinated by an indigenous group. The lesser long-nosed bat has been a focal species for my research and after 20 years it was recently delisted from Mexico’s Endangered Species List. The recovery implied lots of research, education, and specific conservation actions. The job of conservation professionals must include working with government and public to be effective.;https://ciencias.ulisboa.pt/pt/evento/24-05-2016/how-do-conservation-science-implement-it-and-not-die-trying;https://ciencias.ulisboa.pt/pt/evento/24-05-2016/how-do-conservation-science-implement-it-and-not-die-trying;24/05/2016;24/05/2016;12:30;13:30;Biologia;4
